Start_date,Start_hour,Start_minute,End_date,End_hour,End_minute,Month,Year,Category,Start_Location,Stop_Location,Miles,Purpose,Duration,Speed,Month_Name,Day_of_Week
2016-01-01,21.0,11.0,2016-01-01,21.0,17.0,1,2016,Business,Fort Pierce,Fort Pierce,8.207633999999999,Meal/Entertain,6.0,82.07633999999999,January,Friday
2016-01-02,1.0,25.0,2016-01-02,1.0,37.0,1,2016,Business,Fort Pierce,Fort Pierce,8.0467,Meal/Entertain,12.0,40.23349999999999,January,Saturday
2016-01-02,20.0,25.0,2016-01-02,20.0,38.0,1,2016,Business,Fort Pierce,Fort Pierce,7.724831999999999,Errand/Supplies,13.0,35.653070769230766,January,Saturday
2016-01-05,17.0,31.0,2016-01-05,17.0,45.0,1,2016,Business,Fort Pierce,Fort Pierce,7.563898,Meeting,14.0,32.41670571428571,January,Tuesday
2016-01-06,14.0,42.0,2016-01-06,15.0,49.0,1,2016,Business,Fort Pierce,West Palm Beach,102.51495800000001,Customer Visit,67.0,91.80444,January,Wednesday
2016-01-06,17.0,15.0,2016-01-06,17.0,19.0,1,2016,Business,West Palm Beach,West Palm Beach,6.9201619999999995,Meal/Entertain,4.0,103.80242999999999,January,Wednesday
2016-01-06,17.0,30.0,2016-01-06,17.0,35.0,1,2016,Business,West Palm Beach,Palm Beach,11.426314,Meeting,5.0,137.115768,January,Wednesday
2016-01-07,13.0,27.0,2016-01-07,13.0,33.0,1,2016,Business,Cary,Cary,1.2874720000000002,Meeting,6.0,12.874720000000002,January,Thursday
2016-01-10,8.0,5.0,2016-01-10,8.0,25.0,1,2016,Business,Cary,Morrisville,13.357522000000001,Meeting,20.0,40.07256600000001,January,Sunday
2016-01-10,12.0,17.0,2016-01-10,12.0,44.0,1,2016,Business,Jamaica,New York,26.55411,Customer Visit,27.0,59.00913333333334,January,Sunday
2016-01-10,15.0,8.0,2016-01-10,15.0,51.0,1,2016,Business,New York,Queens,17.380872,Meeting,43.0,24.252379534883723,January,Sunday
2016-01-10,18.0,18.0,2016-01-10,18.0,53.0,1,2016,Business,Elmhurst,New York,12.07005,Meeting,35.0,20.691514285714284,January,Sunday
2016-01-10,19.0,12.0,2016-01-10,19.0,32.0,1,2016,Business,Midtown,East Harlem,9.977908000000001,Meeting,20.0,29.933724000000005,January,Sunday
2016-01-11,8.0,55.0,2016-01-11,9.0,21.0,1,2016,Business,East Harlem,NoMad,10.299776000000001,Temporary Site,26.0,23.768713846153847,January,Monday
2016-01-11,11.0,56.0,2016-01-11,12.0,3.0,1,2016,Business,Flatiron District,Midtown,2.5749440000000003,Errand/Supplies,7.0,22.070948571428573,January,Monday
2016-01-11,13.0,32.0,2016-01-11,13.0,46.0,1,2016,Business,Midtown,Midtown East,2.735878,Meal/Entertain,14.0,11.725191428571428,January,Monday
2016-01-11,14.0,30.0,2016-01-11,14.0,43.0,1,2016,Business,Midtown East,Midtown,3.057746,Meal/Entertain,13.0,14.112673846153845,January,Monday
